"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"COCOLO HALL喫煙所","大阪市東住吉区駒川4丁目11番16号","こころほーるきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.5５平方メートル，供用時間：月曜日、水曜日、木曜日、金曜日、土曜日、日曜日（祝日含む）10時から18時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.532196910112","34.6199731995362","大阪市指定喫煙所"
"コリアンタウン喫煙所","大阪市生野区桃谷4丁目6番7号","こりあんたうんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8平方メートル，供用時間：火曜日から日曜日（祝日含む）の９時から18時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.536872948268","34.6607888746948","大阪市指定喫煙所"
"杭全町バス転回地喫煙所","大阪市東住吉区杭全1丁目14番7号（杭全町バス転回地内）","くまたちょうばすてんかいちきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.8平方メートル，供用時間：月曜日から日曜日（祝日含む）5時25分から24時まで，喫煙所形態：屋外開放型喫煙所","","135.538172797986","34.6394309963393","大阪市指定喫煙所"
"城北公園喫煙所","大阪市旭区生江3丁目29番（城北公園内）","しろきたこうえんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：13.23平方メートル，供用時間：月曜日から日曜日（祝日含む）の7時から20時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.53793659873","34.7283176310094","大阪市指定喫煙所"
"Precious colors smorking area","大阪市東成区中道2丁目5番10号","ぷれしゃすからーずすもーきんぐえりあ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.0平方メートル，供用時間：月曜日から金曜日（祝日含む）の10時から18時まで，喫煙所形態：屋内喫煙所","","135.539897404678","34.6807698339982","大阪市指定喫煙所"
"北野たばこ店喫煙所","大阪市東淀川区豊里２丁目５番１号","きたのたばこてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.7平方メートル、供用時間：月曜日から金曜日（祝日含む）の8時から19時まで，喫煙所形態：屋内喫煙所","","135.539869852734","34.7376755595044","大阪市指定喫煙所"
"アミューズ高殿店喫煙所（西）","大阪市旭区高殿４丁目３番32号","あみゅーずたかどのてんきつえんじょ（にし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：1.62平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.54181568586","34.7131078019525","大阪市指定喫煙所"
"アミューズ高殿店喫煙所（東）","大阪市旭区高殿４丁目３番32号","あみゅーずたかどのてんきつえんじょ（ひがし）","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.34平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.541988705802","34.7134082005135","大阪市指定喫煙所"
"アミューズ城東店喫煙所","大阪市城東区中央１丁目９番23号","あみゅーずじょうとうてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.6平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.545359608918","34.7005939621291","大阪市指定喫煙所"
"アミューズ関目店喫煙所","大阪市城東区関目３丁目16番６号","あみゅーずせきめてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.24平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.548980545619","34.7117589046195","大阪市指定喫煙所"
"THE TOBACCO KIREURIWARI","大阪市平野区瓜破2丁目1番17号（WITHビル1階）","ざ　たばこ　きれうりわり","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：10.89平方メートル，供用時間：月曜日から金曜日（祝日含む）の9時から18時まで，喫煙所形態：屋内喫煙所","","135.552198242943","34.6090298860385","大阪市指定喫煙所"
